EmpID,Age,JobLevel,MonthlyIncome,TotalWorkingYears,YearsAtCompany
RM881,32,1,2743,2,2
RM882,32,2,4998,10,8
RM936,32,2,6209,10,10
RM940,32,2,4883,10,10
RM992,32,2,4078,4,3
RM1027,32,2,9204,7,4
RM1076,32,3,11244,10,5
RM1102,32,2,5878,12,7
RM1114,32,2,4087,9,6
RM1140,32,1,3312,6,3
RM1191,32,2,5470,10,9
RM1206,32,1,1393,1,1
RM1227,32,1,3433,10,5
RM1238,32,2,6735,10,0
RM1242,32,3,9610,10,4
RM1261,32,1,2718,12,7
RM1320,32,2,4648,4,0
RM1327,32,2,9907,7,2
RM1376,32,1,2432,8,4
RM1389,32,2,6667,9,5
RM1395,32,2,9679,8,1
RM1427,32,1,2837,6,6
RM1429,32,1,2269,3,2
RM1432,32,3,10422,14,14
RM1450,32,1,2439,4,4
RM004,33,1,2909,8,8
RM031,33,1,2496,7,1
RM040,33,2,5376,10,5
RM122,33,2,6146,8,7
RM177,33,1,2500,4,3
RM186,33,1,2756,8,8
RM222,33,1,2622,7,3
RM235,33,1,2436,8,5
RM237,33,1,2707,13,9
RM247,33,1,2911,2,2
RM329,33,2,4682,9,7
RM364,33,1,2851,1,1
RM437,33,1,3408,8,4
RM500,33,2,7104,6,5
RM510,33,2,7725,15,13
RM515,33,1,3348,10,10
RM563,33,1,2686,10,10
RM592,33,2,5324,6,3
RM620,33,2,4037,9,9
RM656,33,1,2277,7,4
RM674,33,1,2799,6,3
RM695,33,2,6949,6,5
RM713,33,1,3452,5,3
RM716,33,2,5488,6,6
RM755,33,1,2342,3,2
RM791,33,3,7119,9,3
RM793,33,2,4508,14,13
RM799,33,1,2313,5,2
RM803,33,2,4302,4,3
RM830,33,2,8224,6,5
RM864,33,1,3600,5,5
RM873,33,2,4539,10,10
RM884,33,1,2781,15,14
RM909,33,3,8380,10,9
RM991,33,2,9998,8,5
RM1048,33,2,4373,5,4
RM1067,33,1,3838,8,5
RM1075,33,2,6388,14,0
RM1092,33,2,4320,5,5
RM1096,33,2,5207,15,15
RM1106,33,2,6392,8,2
RM1190,33,2,5505,6,6
RM1199,33,2,5368,7,6
RM1211,33,1,2028,14,14
RM1254,33,2,5147,13,11
RM1256,33,3,8564,11,0
RM1266,33,2,3055,11,9
RM1283,33,1,3143,14,10
RM1364,33,2,5487,10,10
RM1399,33,2,5968,9,9
RM1416,33,1,2008,1,1
RM1426,33,2,4878,10,9
RM014,34,1,2661,3,2
RM025,34,1,2960,8,4
RM047,34,2,4568,10,9
RM085,34,2,4325,5,5
RM104,34,2,4809,16,16
RM112,34,2,6074,9,9
RM115,34,2,4505,12,1
RM160,34,1,2231,6,4
RM182,34,1,2311,9,3
RM189,34,2,9547,10,10
RM203,34,1,3815,5,5
RM248,34,2,5957,13,11
RM379,34,2,5304,9,5
RM394,34,2,6538,6,3
RM416,34,1,2351,3,2
RM433,34,1,2768,14,7
RM441,34,3,9950,11,3
RM463,34,2,5337,10,10
RM482,34,1,3622,6,6
RM495,34,1,2579,8,8
RM504,34,1,2691,10,10
RM525,34,3,8621,9,8
RM550,34,2,6142,10,5
RM561,34,2,5121,7,0
RM568,34,2,6274,6,6
RM575,34,1,3280,10,4
RM580,34,1,4381,6,6
RM584,34,2,6500,6,3
RM607,34,1,2553,6,5
RM614,34,1,3737,4,3
RM672,34,1,2008,1,1
RM758,34,2,9725,16,15
RM764,34,1,2220,1,1
RM795,34,2,7756,7,6
RM804,34,1,2979,6,0
RM823,34,2,4033,5,3
RM835,34,2,5714,6,6
RM848,34,2,5343,14,13
RM907,34,1,2585,2,1
RM918,34,2,4538,4,3
RM921,34,2,4444,15,11
RM924,34,2,4490,14,10
RM959,34,3,8500,10,9
RM965,34,2,6125,10,10
RM978,34,1,2029,5,5
RM980,34,2,5429,10,8
RM984,34,2,6687,14,14
RM1016,34,1,2996,10,4
RM1028,34,1,3294,7,5
RM1040,34,1,2742,2,2
RM1049,34,2,4759,15,13
RM1059,34,2,4599,16,15
RM1085,34,3,7083,10,10
RM1088,34,1,2308,12,11
RM1116,34,1,2972,1,1
RM1118,34,2,5484,9,2
RM1132,34,2,5063,8,8
RM1147,34,2,4724,9,9
RM1180,34,2,5433,11,11
RM1209,34,2,3986,15,15
RM1213,34,1,2929,10,10
RM1253,34,1,2932,6,5
RM1268,34,2,4001,15,15
RM1271,34,2,6029,6,2
RM1291,34,2,5346,11,7
RM1301,34,2,6799,10,10
RM1343,34,3,9713,9,5
RM1354,34,1,2307,5,5
RM1360,34,2,8103,9,4
RM1369,34,2,5747,16,15
RM1385,34,3,9888,14,14
RM1386,34,3,8628,9,8
RM1447,34,2,6712,8,8
RM1470,34,2,4404,6,4
RM1470,34,2,4404,6,4
RM011,35,1,2426,6,5
RM038,35,1,2014,2,2
RM041,35,1,1951,1,1
RM050,35,1,2269,1,1
RM054,35,3,9884,10,4
RM057,35,3,9069,9,9
RM058,35,1,4014,4,2
RM069,35,1,2194,5,3
RM077,35,2,4312,16,15
RM082,35,1,2859,6,6
RM152,35,3,7295,10,10
RM193,35,2,5916,8,1
RM197,35,2,4425,10,6
RM229,35,3,8789,10,10
RM298,35,3,8020,12,11
RM345,35,3,8095,17,16
RM373,35,2,6540,10,1
RM431,35,1,4230,6,5
RM439,35,3,7632,10,8
RM448,35,2,4717,15,11
RM462,35,2,4859,5,5
RM484,35,2,3681,9,3
RM509,35,2,6646,17,17
RM516,35,1,1281,1,1
RM558,35,2,5093,16,1
RM581,35,1,2572,3,3
RM597,35,1,2506,7,2
RM612,35,3,10221,17,8
RM621,35,1,2559,6,6
RM636,35,3,10685,17,17
RM637,35,1,2022,10,10
RM648,35,3,10903,16,13
RM677,35,2,4014,10,10
RM699,35,2,4601,5,5
RM705,35,3,7823,12,10
RM726,35,1,3743,5,4
RM730,35,3,10388,16,16
RM741,35,1,3917,3,3
RM792,35,3,9582,9,8
RM821,35,2,4968,5,5
RM836,35,1,4323,6,5
RM841,35,1,2258,10,8
RM847,35,3,10274,15,7
RM849,35,1,2376,2,2
RM871,35,2,8966,15,7
RM889,35,3,10377,16,13
RM925,35,1,3506,4,3
RM962,35,2,4249,9,9
RM974,35,2,5363,10,9
RM982,35,2,4614,5,4
RM1003,35,3,9362,10,2
RM1060,35,1,2404,1,1
RM1082,35,3,8606,11,11
RM1101,35,1,2430,6,5
RM1109,35,1,2450,3,3
RM1111,35,1,2074,1,1
RM1124,35,2,6142,10,5
RM1131,35,2,3407,10,10
RM1135,35,1,2690,1,1
RM1151,35,2,5208,16,16
RM1158,35,2,4148,15,14
RM1163,35,3,10306,15,13
RM1168,35,2,5440,7,2
RM1187,35,2,4581,13,11
RM1216,35,1,4930,6,5
RM1233,35,2,6883,17,7
RM1282,35,2,5813,10,10
RM1289,35,2,5762,15,7
RM1303,35,1,2705,6,5
RM1346,35,2,4788,4,3
RM1381,35,2,5561,6,5
RM1393,35,2,5204,10,10
RM1423,35,1,2660,5,2
RM1425,35,2,5098,10,10
RM1451,35,3,8837,9,9
RM1457,35,2,5689,10,10
RM1459,35,1,2977,4,4
RM010,36,2,5237,17,7
RM022,36,1,3407,10,5
RM039,36,1,3419,6,1
RM065,36,3,10096,17,17
RM067,36,2,6499,6,6
RM070,36,1,3388,2,1
RM075,36,1,3038,5,1
RM118,36,3,9738,10,9
RM119,36,1,2835,7,1
RM136,36,2,4941,7,3
RM173,36,1,2088,13,8
RM208,36,1,2153,8,8
RM221,36,2,5914,16,13
RM270,36,1,3210,16,15
RM292,36,2,4485,10,8
RM299,36,1,3688,4,1
RM306,36,2,5674,11,9
RM359,36,2,6653,7,1
RM360,36,3,9699,16,13
RM378,36,1,2543,6,2
RM385,36,3,7596,10,10
RM443,36,3,9980,10,10
RM512,36,2,8847,13,3
RM570,36,3,7587,10,10
RM594,36,2,5228,10,9
RM600,36,1,2143,8,5
RM622,36,2,6201,18,18
RM634,36,1,2342,6,5
RM665,36,2,6586,17,16
RM681,36,1,4678,8,6
RM688,36,1,2519,16,11
RM694,36,3,10325,16,16
RM709,36,2,5079,12,7
RM753,36,1,2743,18,17
RM762,36,2,4834,9,1
RM774,36,3,8858,15,14
RM818,36,2,7779,18,11
RM874,36,1,2741,7,7
RM883,36,3,10252,17,7
RM901,36,1,3692,12,11
RM928,36,2,5410,18,16
RM943,36,3,7094,10,7
RM969,36,2,4639,17,15
RM1012,36,2,9278,15,5
RM1019,36,2,5810,10,10
RM1020,36,2,5647,11,3
RM1103,36,1,2644,7,3
RM1122,36,2,6815,15,1
RM1129,36,2,5562,9,3
RM1146,36,2,4663,7,3
RM1174,36,3,8008,9,3
RM1181,36,1,2013,15,4
RM1183,36,2,4374,4,3
RM1184,36,2,6842,13,5
RM1200,36,2,5347,10,3
RM1221,36,2,4502,17,13
RM1237,36,2,6134,16,2
RM1279,36,3,8321,15,12
RM1316,36,2,6962,15,1
RM1341,36,2,5673,10,10
RM1348,36,2,3886,10,10
RM1356,36,2,5507,12,4
RM1384,36,1,2810,5,5
RM1440,36,3,7644,10,9
RM1441,36,2,5131,18,4
RM1448,36,2,5406,15,15
RM1454,36,2,6652,8,6
RM1466,36,2,2571,17,5
RM1466,36,2,2571,17,5
RM003,37,1,2090,7,0
RM048,37,1,3022,8,1
RM060,37,2,5993,7,7
RM101,37,1,2073,7,3
RM105,37,2,5163,17,1
RM116,37,3,7428,12,5
RM196,37,1,3564,8,8
RM227,37,1,2793,13,9
RM249,37,1,3920,17,3
RM251,37,3,10048,17,1
RM274,37,2,6502,7,5
RM286,37,1,2115,17,17
RM295,37,1,2326,4,4
RM341,37,2,6347,8,6
RM354,37,2,5974,13,7
RM365,37,1,3452,17,5
RM387,37,1,3034,18,18
RM390,37,2,4197,18,1
RM399,37,2,4449,15,13
RM465,37,3,7491,12,6
RM468,37,3,8834,9,9
RM473,37,2,6447,8,6
RM487,37,2,9602,17,3
RM507,37,3,9434,10,10
RM523,37,1,4680,4,1
RM578,37,1,2782,6,5
RM629,37,2,6334,9,1
RM649,37,1,2973,10,5
RM653,37,3,7642,10,10
RM696,37,3,10609,17,14
RM745,37,2,4777,15,1
RM768,37,2,4107,8,4
RM796,37,2,6694,8,1
RM833,37,2,5731,9,6
RM856,37,2,6474,14,14
RM990,37,1,2996,8,6
RM1002,37,1,3629,8,3
RM1023,37,1,3500,7,6
RM1090,37,2,4285,10,10
RM1159,37,2,5768,9,4
RM1164,37,1,3936,8,8
RM1212,37,2,9525,6,6
RM1277,37,2,4189,5,5
RM1281,37,2,4071,19,10
RM1292,37,2,4213,10,10
RM1345,37,2,4284,16,5
RM009,38,3,9526,10,9
RM020,38,1,3944,6,3
RM062,38,2,2406,10,10
RM084,38,2,5329,17,13
RM143,38,2,4317,19,3
RM169,38,2,8686,12,8
RM180,38,1,2288,2,2
RM199,38,2,6553,14,1
RM200,38,2,6261,9,7
RM205,38,2,6673,17,1
RM224,38,3,10609,17,16
RM262,38,2,5249,13,8
RM278,38,2,5605,8,8
RM288,38,2,5745,10,2
RM342,38,3,11510,12,11
RM417,38,1,1702,1,1
RM472,38,2,9824,18,1
RM491,38,1,2619,8,0
RM519,38,2,4028,8,7
RM530,38,2,7625,10,9
RM543,38,3,7861,10,1
RM560,38,1,3057,6,1
RM579,38,2,5980,17,15
RM606,38,2,6288,13,4
RM643,38,1,2899,3,2
RM704,38,2,5666,6,5
RM723,38,1,2684,3,2
RM748,38,2,6861,19,1
RM766,38,1,2821,8,2
RM785,38,3,8823,20,19
RM808,38,3,8740,9,8
RM812,38,3,7351,10,1
RM827,38,1,2844,7,7
RM964,38,2,6893,11,7
RM983,38,1,2610,4,4
RM1108,38,2,6077,10,6
RM1113,38,2,4855,7,5
RM1120,38,2,9924,10,9
RM1121,38,2,4198,8,3
RM1162,38,3,7756,10,5
RM1188,38,2,4735,19,13
RM1194,38,1,2440,4,4
RM1203,38,1,3306,7,0
RM1257,38,1,2468,9,6
RM1262,38,2,5811,15,1
RM1273,38,1,3702,5,5
RM1290,38,1,2592,13,11
RM1309,38,2,5405,20,4
RM1374,38,2,2133,20,20
RM1377,38,1,4771,10,5
RM1392,38,1,2858,20,1
RM1401,38,1,2991,7,6
RM1417,38,2,4440,16,15
RM1419,38,2,5321,10,8
RM1452,38,2,5343,10,10
RM034,39,2,2086,19,1
RM138,39,2,5902,17,15
RM241,39,1,2232,7,3
RM252,39,3,10938,20,19
RM305,39,3,9613,19,18
RM328,39,2,5238,12,1
RM450,39,1,3755,8,8
RM527,39,2,4553,20,20
RM552,39,2,6389,12,8
RM655,39,2,5204,13,5
RM670,39,1,2404,8,2
RM706,39,3,7880,9,8
RM754,39,3,10880,21,21
RM817,39,2,6782,9,5
RM941,39,1,3904,6,5
RM950,39,2,4534,9,8
RM987,39,2,6120,8,5
RM993,39,3,10920,13,6
RM1033,39,1,3646,11,1
RM1080,39,3,8376,9,2
